Date,Open,High,Low,Close,Adj Close,Volume
2022-01-19,2730.47,2759.19,2700.31,2702.33,2702.33,1432400
2022-01-20,2725.0,2752.52,2659.29,2666.15,2666.15,1495400
2022-01-21,2651.87,2697.31,2601.73,2607.03,2607.03,2782600
2022-01-24,2519.56,2624.06,2490.0,2616.08,2616.08,3831100
2022-01-25,2574.8,2587.98,2530.01,2538.7,2538.7,2348000
2022-01-26,2622.38,2660.0,2542.84,2584.66,2584.66,2456500
2022-01-27,2626.08,2653.05,2578.65,2580.1,2580.1,1597500
2022-01-28,2593.18,2667.13,2569.7,2667.02,2667.02,1718100
2022-01-31,2683.24,2709.46,2644.19,2706.07,2706.07,1999300
2022-02-01,2751.89,2755.86,2687.37,2752.88,2752.88,3432200
2022-02-02,3025.0,3030.93,2910.45,2960.0,2960.0,6160000
2022-02-03,2914.11,2993.5,2853.31,2861.8,2861.8,3575900
2022-02-04,2868.89,2897.5,2810.3,2865.86,2865.86,2897200
2022-02-07,2885.0,2885.0,2778.0,2784.02,2784.02,2748700
2022-02-08,2780.53,2800.0,2740.28,2787.98,2787.98,2714200
2022-02-09,2819.27,2850.49,2803.74,2831.84,2831.84,2007200
2022-02-10,2794.07,2829.69,2759.14,2772.4,2772.4,1966500
2022-02-11,2772.0,2783.13,2668.0,2685.65,2685.65,1994200
2022-02-14,2665.13,2726.0,2665.13,2710.52,2710.52,1715100
2022-02-15,2751.41,2762.17,2716.43,2732.17,2732.17,1335600
2022-02-16,2732.93,2761.72,2698.48,2754.76,2754.76,1251100
2022-02-17,2724.86,2742.27,2649.57,2650.78,2650.78,1947500
2022-02-18,2669.34,2681.4,2603.93,2608.06,2608.06,2277400
2022-02-22,2596.76,2643.61,2564.47,2596.27,2596.27,2249500
2022-02-23,2632.97,2641.02,2550.55,2551.76,2551.76,1639300
2022-02-24,2499.07,2660.0,2499.07,2653.82,2653.82,2722800
2022-02-25,2671.04,2705.43,2635.03,2689.19,2689.19,1818000
